control_id,exception_id,source_file,source_record_id,employee_id,system_id,reference_id,event_date,required_by,actual_date,days_late,exception_type,status,breach_date,detail,risk_id,severity_score,exception_age_days,priority_score,priority_tier
ITGC-CM-01,EX-CM-01-017,change_log.csv,CHG0030361,E10666,GL01,Standard,2025-08-01,2025-08-01,,,No approver / approval date recorded,Closed,2025-08-01,Standard change 'Upgrade GL reporting module' implemented 2025-08-01 19:00; no approval recorded,R-04,12,182,24.0,Medium
ITGC-CM-01,EX-CM-01-018,change_log.csv,CHG0030425,E10727,LSP,Normal,2025-09-04,2025-09-04,,,No approver / approval date recorded,Closed,2025-09-04,Normal change 'Modify loan boarding field mapping' implemented 2025-09-04 21:45; no approval recorded,R-04,12,148,21.7,Medium
ITGC-CM-01,EX-CM-01-019,change_log.csv,CHG0030465,E10914,LSP,Emergency,2025-10-01,2025-10-03,2025-10-09,4.0,Emergency change approved outside 2-BD window,Closed,2025-10-01,Emergency change 'Modify loan boarding field mapping' implemented 2025-10-01 21:30; approved 2025-10-09 11:00 by E10259,R-04,12,121,20.0,Low
ITGC-CM-01,EX-CM-01-020,change_log.csv,CHG0030472,E10203,LSP,Normal,2025-10-07,2025-10-07,2025-10-16,8.0,Approved after implementation,Closed,2025-10-07,Normal change 'Modify loan boarding field mapping' implemented 2025-10-07 19:30; approved 2025-10-16 13:30 by E11109,R-04,12,115,19.6,Low
ITGC-CM-01,EX-CM-01-021,change_log.csv,CHG0030474,E10087,LSP,Normal,2025-10-08,2025-10-08,,,No approver / approval date recorded,Closed,2025-10-08,Normal change 'Modify loan boarding field mapping' implemented 2025-10-08 19:00; no approval recorded,R-04,12,114,19.5,Low
ITGC-CM-01,EX-CM-01-022,change_log.csv,CHG0030482,E10192,GL01,Standard,2025-10-10,2025-10-10,2025-10-16,5.0,Approved after implementation,Closed,2025-10-10,Standard change 'Add new cost center hierarchy' implemented 2025-10-10 18:30; approved 2025-10-16 12:30 by E11202,R-04,12,112,19.4,Low
ITGC-CM-01,EX-CM-01-023,change_log.csv,CHG0030501,E10029,LSP,Emergency,2025-10-22,2025-10-24,2025-10-30,4.0,Emergency change approved outside 2-BD window,Closed,2025-10-22,Emergency change 'Adjust interest accrual calculation for ARM loans' implemented 2025-10-22 19:45; approved 2025-10-30 11:00 by E11109,R-04,12,100,18.6,Low
ITGC-CM-01,EX-CM-01-024,change_log.csv,CHG0030505,E10077,GL01,Emergency,2025-10-23,2025-10-27,2025-10-30,3.0,Emergency change approved outside 2-BD window,Closed,2025-10-23,Emergency change 'Fix FX revaluation rounding' implemented 2025-10-23 19:15; approved 2025-10-30 11:00 by E10751,R-04,12,99,18.5,Low
ITGC-CM-01,EX-CM-01-025,change_log.csv,CHG0030513,E10642,LSP,Standard,2025-10-27,2025-10-27,,,No approver / approval date recorded,Closed,2025-10-27,Standard change 'Change escrow disbursement interface' implemented 2025-10-27 18:30; no approval recorded,R-04,12,95,18.2,Low
ITGC-CM-01,EX-CM-01-026,change_log.csv,CHG0030528,E10269,TMS,Emergency,2025-11-05,2025-11-07,2025-11-11,2.0,Emergency change approved outside 2-BD window,Closed,2025-11-05,Emergency change 'Update bank statement import parser' implemented 2025-11-05 19:30; approved 2025-11-11 11:00 by E10259,R-04,12,86,17.7,Low
ITGC-CM-01,EX-CM-01-027,change_log.csv,CHG0030533,E10153,GL01,Normal,2025-11-07,2025-11-07,,,No approver / approval date recorded,Closed,2025-11-07,Normal change 'Add new cost center hierarchy' implemented 2025-11-07 20:15; no approval recorded,R-04,12,84,17.5,Low
ITGC-CM-01,EX-CM-01-028,change_log.csv,CHG0030569,E10285,LSP,Normal,2025-11-25,2025-11-25,2025-11-29,3.0,Approved after implementation,Closed,2025-11-25,Normal change 'Upgrade servicing platform minor release' implemented 2025-11-25 22:30; approved 2025-11-29 16:30 by E10489,R-04,12,66,16.3,Low
ITGC-CM-01,EX-CM-01-029,change_log.csv,CHG0030570,E10727,LSP,Emergency,2025-11-26,2025-12-01,2025-12-10,7.0,Emergency change approved outside 2-BD window,Closed,2025-11-26,Emergency change 'Modify loan boarding field mapping' implemented 2025-11-26 20:30; approved 2025-12-10 11:00 by E11109,R-04,12,65,16.3,Low
ITGC-CM-01,EX-CM-01-030,change_log.csv,CHG0030578,E10469,LSP,Normal,2025-12-02,2025-12-02,2025-12-08,5.0,Approved after implementation,Closed,2025-12-02,Normal change 'Modify loan boarding field mapping' implemented 2025-12-02 19:15; approved 2025-12-08 13:15 by E10259,R-04,12,59,15.9,Low
ITGC-CM-01,EX-CM-01-031,change_log.csv,CHG0030596,E10269,FCR,Normal,2025-12-12,2025-12-12,2025-12-21,8.0,Approved after implementation,Closed,2025-12-12,Normal change 'Patch eliminations report' implemented 2025-12-12 20:15; approved 2025-12-21 14:15 by E10751,R-04,12,49,15.2,Low
ITGC-CM-01,EX-CM-01-032,change_log.csv,CHG0030614,E10788,FCR,Normal,2025-12-24,2025-12-24,,,No approver / approval date recorded,Closed,2025-12-24,Normal change 'Update consolidation mapping for new entity' implemented 2025-12-24 20:15; no approval recorded,R-04,12,37,14.4,Low
